first_name,middle_name,last_name,label,scopus_id
FRANKIN,,ALLEN,"Allen, Franklin",7102515412
FRANKLIN,,ALLEN,"Allen, Franklin",7102515412
JASON,,ALLEN,"Allen, J. M.S.",55477938000
JEFF,,ALLEN,"Allen, Jeffrey W.",55477906700
JEFFREY,,ALLEN,"Allen, Jeffrey W.",55477906700
JEFFREY,W,ALLEN,"Allen, Jeffrey W.",55477906700
LINDA,,ALLEN,"Allen, Linda",7401630953
WILLIAM,,ALLEN,"Allen, William T.",7401854772
WILLIAM,T,ALLEN,"Allen, William T.",7401854772
CHRISTOPHER,,ALLSOPP,"Allsopp, Christopher J.",7004646769
LOUISE,,ALLSOPP,"Allsopp, Louise",6602092141
JAMES,,ALM,"Alm, James R.",7004855546
A,,ALMAZAN,"Almazan, Andres",7004279197
ANDRES,,ALMAZAN,"Almazan, Andres",7004279197
ALVARO,,ALMEIDA,"Almeida, Alvaro Santos",55945321100
CAIO,,ALMEIDA,"Almeida, Caio Ibsen Rodrigues",24537081100
HEITOR,,ALMEIDA,"Almeida, Heitor V.",7006030950
HEITOR,V,ALMEIDA,"Almeida, Heitor V.",7006030950
JOHAN,,ALMENBERG,"Almenberg, Johan",26533743900
ROBERT,,ALMGREN,"Almgren, Robert F.",6603815474
PETER,,ALONZI,PETER ALONZI,
RIADH,,ALOUI,"Aloui, Riadh",36238737600
SAMI,,ALPANDA,"Alpanda, Sami",34969092100
KORAY,,ALPER,"Alper, Koray",55214020900
OMER,,ALPER,OMER ALPER,
P,,ALPHONSE,"Alphonse, Pascal",55972638200
PASCAL,,ALPHONSE,"Alphonse, Pascal",55972638200
RASHA,,ALSAKKA,"Alsakka, Rasha",35745584900
CHRISTOPH,,ALSLEBEN,"Alsleben, Christoph",8435042500
LEE,,ALSTON,"Alston, Lee J.",6603848047
AYDO?AN,,ALT?,"Alti, Aydoĝan",8665324800
CARLO,,ALTAVILLA,"Altavilla, Carlo",6508266681
ASLIHAN,,ALTAY-SALIH,"Salih, Aslihan",55666331200
MOISA,,ALTER,MOISA ALTER,
AYDOGAN,,ALTI,"Alti, Aydoĝan",8665324800
D,,ALTIG,"Altig, David E.",6506153452
DAVE,,ALTIG,"Altig, David E.",6506153452
DAVID,,ALTIG,"Altig, David E.",6506153452
OYA,,ALTINKILIC,"Altınkılıç, Oya",6506688885
FILIPPO,,ALTISSIMO,"Altissimo, Filippo",6507086011
E,,ALTMAN,"Altman, Edward I.",35883941800
ED,,ALTMAN,"Altman, Edward I.",35883941800
EDWARD,,ALTMAN,"Altman, Edward I.",35883941800
EDWARD,I,ALTMAN,"Altman, Edward I.",35883941800
JOE,,ALTONJI,"Altonji, Joseph G.",6602414825
